channel_id,channel_title,custom_url,description,country,published_at,subscriber_count,video_count,view_count,keywords,channel_url
UCBOkqyWxbp8jtcsvcHB7qog,We Study Billionaires,@westudybillionaires,"Welcome to the We Study Billionaires YouTube channel by The Investor's Podcast Network!

Since 2014, we have been guiding investors and business people of all levels on how to grow financially and personally. Our flagship show, We Study Billionaires, is the largest stock investing podcast show, with more than 185 million downloads.

In this channel, you'll get content from the shows We Study Billionaires and Richer, Wiser, and Happier.

On We Study Billionaires, we interview and study famous fin",US,2021-10-04T08:43:49.501305Z,81900,354,5417859,"""the investor’s podcast we study billionaires"" ""the investor’s podcast"" ""the investor’s podcast network"" ""the investor’s podcast youtube"" billionaires investors ""stig brodersen"" wsb ""value investing"" ""stock market"" finance ""investing mastermind""",https://www.youtube.com/channel/UCBOkqyWxbp8jtcsvcHB7qog
UCPCPE5MoI7DS1WiVB_-mzNw,TraderNick,@tradernick,"Trading LIVE, 9:30 AM EST M-F! Founder @A1Trading Software Tools

My name is Nick Syiek, and I've traded indices, currencies, and options for 7+ years. On my channel, I share my current trading setups, and cover current events happening in financial markets. 

I focus on a mix of technical & fundamental analysis. For more information & free education, checkout our website, a1trading.com

Warning: No financial advice here! Nothing on my channel should be taken as financial advice. I am not a lice",US,2018-11-02T14:51:24Z,511000,2439,36875444,forex stocks trading investing Russia Ukraine,https://www.youtube.com/channel/UCPCPE5MoI7DS1WiVB_-mzNw
UCRySNNVhiuLWciU_20H84-Q,Makkal Pechu,@makkalpechu,,IN,2018-10-19T16:26:05Z,253000,2313,66500419,Politcs,https://www.youtube.com/channel/UCRySNNVhiuLWciU_20H84-Q
UC5ys9Mr9eYs9inrHkjcD1fw,LIFE ECONOMICS,@lifeeconomics,"This channel puts forth an effort to introduce you the economic activities happening around us. We come across many economic and business activities each and everyday. This is a humble effort to make the people familiarise with those kind of activities. It will be very helpful for common people and students of economics and business.

If you like this channel please follow.....
",IN,2020-06-04T15:58:27.88527Z,12600,508,1461953,"Economics Definitions ""Life economics"" ""Deepesh Manoharan"" ""Theories in economics"" ""Models in economics"" microeconomics ""microeconomic theories"" macroeconomics ""macroeconomic theories"" ""Indian economy"" ""Kerala economy"" ""Development economics"" Unemployment Inflation ""Basic economic concepts"" ""PG economics"" ""Plus two economics"" ""Plus one economics"" ""Degree economics"" NET SET UGC ""Kerala PSC"" ""Exam preparation""",https://www.youtube.com/channel/UC5ys9Mr9eYs9inrHkjcD1fw
UCw3fku0sH3qA3c3pZeJwdAw,Daily Mail World,@dailymail,"Welcome to Daily Mail World - the place for unrivaled geopolitical access, shows and insights. ",,2012-08-20T10:16:40Z,4900000,61577,3443560570,"""daily mail"" entertainment shows long-form investigations ""original content"" tv ""tv shows"" explainers investigation expert experts ""experts by decade"" ""true crime"" fun celebrity educational journalism news explainer war military",https://www.youtube.com/channel/UCw3fku0sH3qA3c3pZeJwdAw
UCzelA5kqD9v6k6drK44l4_g,Vajiram and Ravi Official,@vajiramandraviofficial,"• M/S Vajiram & Ravi is India’s well-known Institute preparing candidates for the Civil Services Examination at all three levels – Preliminary Test, Main Examination, and Personality Test. 

• The Institute was founded in 1976 by Professor P. Velayutham who had to his credit numerous academic distinctions from India and abroad, including a diploma on International Law, awarded by the International Court of Justice, The Hague. 

• The teaching faculty of the Institute has been drawn from highly q",IN,2013-08-08T10:07:59Z,559000,5827,85729105,"""vajiram and ravi"" ""vajiram and ravi current affairs"" ""vajiram and ravi analyst"" ""vajiram & ravi"" vajiram ""upsc interview"" upsc ""upsc syllabus"" ""upsc motivational video"" ""upsc result 2024"" ""upsc ki taiyari kaise kare"" ""upsc prelims 2024"" ""upsc topper 2024"" ""upsc motivation"" ""ias interview"" ias ""ias motivational video"" ""upsc preparation"" ""upsc classes"" ""upsc song"" ""ias preparation"" ""newspaper analysis"" ""current affairs today"" ""current affairs"" ""ias interview"" ""vajiram and ravi online classes""",https://www.youtube.com/channel/UCzelA5kqD9v6k6drK44l4_g
UCoUxsWakJucWg46KW5RsvPw,Financial Times,@financialtimes,"Interested in unbiased global news and want to make sense of a changing world? The Financial Times YouTube channel showcases the best of our visual journalism, going beyond the headlines to help you navigate the world’s new agenda. Our stories will inform and inspire you to lead the way in business and beyond, to rethink existing political and economic models and follow crucial trends. Join us and gain deeper insight into the news. 

Copyright The Financial Times Ltd 2019. FT and 'Financial Time",GB,2009-03-26T15:06:43Z,1330000,10926,199534003,"""Business news"" ""Financial news"" FT ""World news"" ""Latest news"" ""Economic news"" ""Political news"" ""Financial Times"" ""Financial Times Report"" FT.com news ""FT Analysis"" ""FT report"" Syria Obama Putin ""barack obama"" ""steve jobs"" ""Donald trump"" sneakers reselling music",https://www.youtube.com/channel/UCoUxsWakJucWg46KW5RsvPw
UCETE4rKzRRjqM0JaB7TlPpQ,KSAT 12,@ksatnews,"This is the official YouTube Channel for KSAT 12 News in San Antonio, Texas.",US,2017-04-25T15:58:18Z,465000,111751,432155176,"""San Antonio"" Texas KSAT ""KSAT 12"" KSAT.com News Local Breaking Crime ""Bexar County"" TV ""Channel 12"" KSAT12 Weather ""Severe Weather"" Sports ""Big Game Coverage"" ""Texas Eats"" ""Steve Spriester"" ""Stephania Jimenez"" ""Ursula Pari"" ""Adam Caskey"" ""Myra Arthur"" Courts Trial ""Live News"" ""Live TV"" ""hill country"" ""steve spriester"" ""severe weather"" radar storms latest ""local news""",https://www.youtube.com/channel/UCETE4rKzRRjqM0JaB7TlPpQ
UC9C17-OMxa-7oRSaCtztObw,Rob Berger,@rob_berger,"This channel is dedicated to helping you achieve financial freedom. Videos cover everything from getting out of debt to investing for the very first time.

TOPICS:

--Getting out of debt
--Creating a budget that works
--Investing for retirement in a 401(k) or IRA
--Buying a home
--Improving your credit
--Understanding insurance
--Managing student loans
--Finding the best banks and credit cards
--Saving money

ABOUT ME:

I've been writing about personal finance and investing since 2007. After spe",US,2012-03-16T15:25:55Z,279000,612,30761805,"""personal finance"" investing ""financial freedom""",https://www.youtube.com/channel/UC9C17-OMxa-7oRSaCtztObw
UCrC8mOqJQpoB7NuIMKIS6rQ,StudyIQ IAS,@studyiqeducationltd,"📚 StudyIQ Education - India's #1 Online Learning Platform for Government Exams

StudyIQ Education Pvt Ltd is India’s most trusted online platform for UPSC Civil Services Exam preparation. With a legacy of guiding thousands of successful aspirants, we offer expert-led video lectures, bilingual content (English & Hindi), and fully structured courses for all three stages—Prelims, Mains, and Interview. Covering the entire UPSC syllabus—GS, CSAT, Current Affairs, Essay, and Optional Subjects—StudyIQ ",IN,2015-06-22T14:00:35Z,20000000,61119,7535607093,"""StudyIQ IAS"" StudyIQ ""Study IQ"" ""Study iq ias"" ""current affairs"" ""upsc preparation"" ""civil service exam"" geopolitics polity ""Indian polity"" History ""Modern history"" Animation Geography ""Indian geography"" finance education ""case studies"" ""case study"" Constitution ""Indian law"" optional IAS IPS UPSC PCS Economy ""Indian Economy"" ""International relations"" IR DM Science Technology Defence IFS ""upsc 2025"" ""current affairs 2025"" ""studyiq current affairs 2025"" ""upsc notification 2025"" upsc",https://www.youtube.com/channel/UCrC8mOqJQpoB7NuIMKIS6rQ
